epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,1363.01,1.39185,1.19998,1.58392,0.548,0.48951,0.50637,0.20177,1.99535,1.74225,2.27978,0.005743,0.005743,0.005743
45,1390.13,1.40209,1.20389,1.59769,0.62016,0.44406,0.4925,0.21389,1.92921,1.96306,2.25962,0.005644,0.005644,0.005644
46,1417.37,1.38754,1.18986,1.57171,0.64245,0.54545,0.60526,0.24519,1.93521,1.60474,2.29981,0.005545,0.005545,0.005545
47,1443.98,1.39412,1.18862,1.58903,0.87352,0.66084,0.80304,0.45023,1.55912,1.23033,1.85004,0.005446,0.005446,0.005446
48,1471.28,1.37299,1.12787,1.57184,0.79591,0.59999,0.7035,0.36093,1.6752,1.48276,1.98139,0.005347,0.005347,0.005347
49,1498.12,1.38197,1.15537,1.58065,0.65507,0.5246,0.60189,0.27428,1.84299,1.70405,2.06899,0.005248,0.005248,0.005248
50,1525.55,1.35584,1.16162,1.55368,0.82766,0.67167,0.75761,0.3667,1.77835,1.30881,2.08602,0.005149,0.005149,0.005149
51,1553.56,1.36707,1.16199,1.57975,0.72686,0.48385,0.58475,0.27418,1.88854,1.68288,2.19393,0.00505,0.00505,0.00505
52,1581.4,1.3533,1.12033,1.55564,0.71714,0.57692,0.63484,0.30042,1.8356,1.76472,2.16403,0.004951,0.004951,0.004951
53,1611.06,1.334,1.09619,1.54562,0.84994,0.69312,0.78549,0.41074,1.57892,1.20899,1.91349,0.004852,0.004852,0.004852
54,1641.2,1.36843,1.11631,1.57493,0.72753,0.67133,0.73213,0.3472,1.73604,1.32669,2.06572,0.004753,0.004753,0.004753
55,1674.34,1.33701,1.09893,1.54187,0.78243,0.61888,0.70591,0.31725,1.81031,1.37664,2.1408,0.004654,0.004654,0.004654
56,1708.7,1.32618,1.07642,1.52873,0.8721,0.69138,0.77939,0.39845,1.63591,1.26461,1.9631,0.004555,0.004555,0.004555
57,1742.71,1.31458,1.06094,1.51443,0.72094,0.58392,0.6594,0.32487,1.7256,1.46587,2.02157,0.004456,0.004456,0.004456
58,1772.53,1.32628,1.02794,1.53722,0.79705,0.54545,0.67509,0.30202,1.97498,1.6634,2.20856,0.004357,0.004357,0.004357
59,1803.72,1.30648,1.05579,1.51612,0.5675,0.50468,0.52465,0.21985,1.92311,1.78597,2.18283,0.004258,0.004258,0.004258
60,1835.85,1.30729,1.06271,1.50397,0.66752,0.65285,0.69858,0.36524,1.73437,1.2942,2.01266,0.004159,0.004159,0.004159
61,1865.1,1.30917,1.04229,1.51133,0.79612,0.68182,0.75756,0.38946,1.63562,1.20284,1.95758,0.00406,0.00406,0.00406
62,1895.4,1.27951,1.00707,1.49957,0.77638,0.69231,0.76309,0.38234,1.67995,1.26418,1.95034,0.003961,0.003961,0.003961
63,1924.92,1.25899,1.00953,1.48656,0.81282,0.57692,0.69577,0.2931,2.02845,1.30119,2.27186,0.003862,0.003862,0.003862
64,1960.82,1.30974,1.01184,1.52637,0.73074,0.55037,0.6303,0.26814,1.96462,1.6295,2.23765,0.003763,0.003763,0.003763
65,1997.37,1.28028,1.01479,1.48421,0.84798,0.66311,0.75956,0.37905,1.63914,1.3448,1.93783,0.003664,0.003664,0.003664
66,2030.6,1.28004,1.00187,1.48061,0.86992,0.6958,0.79893,0.42202,1.60543,1.15452,1.93187,0.003565,0.003565,0.003565
67,2063.4,1.27421,0.98726,1.47917,0.79755,0.65734,0.74971,0.35698,1.72373,1.32947,2.01607,0.003466,0.003466,0.003466
68,2093.61,1.27252,1.02069,1.49112,0.85372,0.63986,0.73506,0.33636,1.80274,1.33159,2.07523,0.003367,0.003367,0.003367
69,2125.13,1.26472,0.97823,1.4819,0.72501,0.62937,0.6915,0.33329,1.756,1.40992,2.11792,0.003268,0.003268,0.003268
70,2155.07,1.26631,0.97119,1.48242,0.82312,0.71329,0.79083,0.39916,1.633,1.25612,1.95072,0.003169,0.003169,0.003169
71,2183.77,1.21766,0.95433,1.44545,0.88629,0.70856,0.8002,0.4094,1.58884,1.21406,1.9069,0.00307,0.00307,0.00307
72,2211.13,1.24871,0.95926,1.48482,0.85168,0.7028,0.7915,0.44078,1.56237,1.12798,1.87405,0.002971,0.002971,0.002971
73,2238.22,1.25465,0.96094,1.45491,0.85861,0.76573,0.82872,0.45275,1.5142,1.05019,1.80191,0.002872,0.002872,0.002872
74,2265.12,1.22457,0.9499,1.44932,0.90701,0.75874,0.82901,0.43457,1.63786,1.0422,1.90042,0.002773,0.002773,0.002773
75,2292.63,1.22629,0.92733,1.44383,0.81081,0.61437,0.697,0.32482,1.80145,1.56157,2.08169,0.002674,0.002674,0.002674
76,2320.98,1.22426,0.9304,1.45351,0.8107,0.7028,0.78818,0.411,1.62379,1.14021,1.92019,0.002575,0.002575,0.002575
77,2348.59,1.20008,0.92596,1.43645,0.8261,0.72028,0.79343,0.41983,1.57376,1.09831,1.87715,0.002476,0.002476,0.002476
78,2375.6,1.24525,0.93185,1.45676,0.87107,0.72378,0.82561,0.42221,1.60657,1.04729,1.90189,0.002377,0.002377,0.002377
79,2405.45,1.21641,0.89968,1.44333,0.87672,0.68531,0.79766,0.43532,1.54457,1.08709,1.84352,0.002278,0.002278,0.002278
80,2432.45,1.20351,0.9074,1.43478,0.89544,0.71869,0.84388,0.46493,1.53049,0.98014,1.81867,0.002179,0.002179,0.002179
81,2460.23,1.17856,0.8845,1.4279,0.88496,0.75309,0.83011,0.43691,1.59444,1.04262,1.89743,0.00208,0.00208,0.00208
82,2485.96,1.20898,0.9263,1.43637,0.85091,0.69843,0.77718,0.40594,1.69633,1.16075,2.00717,0.001981,0.001981,0.001981
83,2511.32,1.18496,0.8848,1.41787,0.87739,0.72564,0.81112,0.45852,1.56574,1.02033,1.8506,0.001882,0.001882,0.001882
84,2537.09,1.17987,0.88367,1.41004,0.77023,0.66084,0.73973,0.36054,1.71572,1.3166,2.00267,0.001783,0.001783,0.001783
85,2563.06,1.1615,0.85837,1.39624,0.93626,0.71901,0.84957,0.47943,1.478,0.9365,1.78365,0.001684,0.001684,0.001684
86,2587.75,1.178,0.86764,1.40536,0.88607,0.74825,0.84236,0.45543,1.63218,1.01128,1.97349,0.001585,0.001585,0.001585
87,2613.07,1.14639,0.83755,1.37841,0.86064,0.73415,0.8115,0.4301,1.57779,1.05652,1.87642,0.001486,0.001486,0.001486
88,2637.73,1.15356,0.86111,1.39834,0.85341,0.74476,0.82816,0.43465,1.64154,1.06245,1.9262,0.001387,0.001387,0.001387
89,2663.05,1.14784,0.84386,1.38685,0.90954,0.73776,0.83958,0.45898,1.5414,1.03902,1.83588,0.001288,0.001288,0.001288
90,2688.55,1.12043,0.81517,1.37801,0.90986,0.6958,0.79986,0.4326,1.58547,1.07448,1.87827,0.001189,0.001189,0.001189
91,2834.95,1.08893,0.76436,1.47045,0.91313,0.73511,0.84752,0.49485,1.43593,1.03053,1.7444,0.00109,0.00109,0.00109
92,2863.73,1.0437,0.64614,1.40786,0.92135,0.7972,0.8896,0.50687,1.46999,0.85408,1.77511,0.000991,0.000991,0.000991
93,2891.1,1.03954,0.62667,1.4161,0.90544,0.79371,0.88423,0.50958,1.47565,0.8359,1.7587,0.000892,0.000892,0.000892
94,2917.59,1.04064,0.64175,1.39883,0.90033,0.77273,0.86982,0.4979,1.46421,0.92167,1.77256,0.000793,0.000793,0.000793
95,2943.01,1.03013,0.60798,1.38921,0.89722,0.80769,0.87959,0.51542,1.44851,0.8692,1.76422,0.000694,0.000694,0.000694
96,2968.66,0.98427,0.59869,1.35543,0.90539,0.80302,0.88824,0.51901,1.45165,0.84287,1.7661,0.000595,0.000595,0.000595
97,2994.85,0.95791,0.58373,1.32868,0.90546,0.77022,0.87822,0.50559,1.47921,0.89363,1.7901,0.000496,0.000496,0.000496
98,3020.51,0.97004,0.57348,1.35522,0.90681,0.7972,0.8753,0.49957,1.49444,0.88634,1.79019,0.000397,0.000397,0.000397
99,3046.3,0.95912,0.59779,1.33524,0.93294,0.77835,0.87351,0.51408,1.44957,0.8786,1.74798,0.000298,0.000298,0.000298
100,3072.03,0.95347,0.56963,1.3546,0.89808,0.80104,0.87908,0.51529,1.45896,0.85319,1.75289,0.000199,0.000199,0.000199
